,cardname,text,cmc,type
19950,Mistform Wakecaster,"Flying
{1}: Mistform Wakecaster becomes the creature type of your choice until end of turn.
{2}{U}{U}, {T}: Choose a creature type. Each creature you control becomes that type until end of turn.",5.0,Creature — Illusion
19951,Undiscovered Paradise,"{T}: Add one mana of any color. During your next untap step, as you untap your permanents, return Undiscovered Paradise to its owner's hand.",0.0,Land
19952,Nurturing Presence,"Enchant creature
Enchanted creature has ""Whenever a creature enters the battlefield under your control, this creature gets +1/+1 until end of turn.""
When Nurturing Presence enters the battlefield, create a 1/1 white Spirit creature token with flying.",2.0,Enchantment — Aura
19953,Cavalry Pegasus,"Flying
Whenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn.",2.0,Creature — Pegasus
19954,Gurmag Swiftwing,"Flying, first strike, haste",2.0,Creature — Bat
19955,Commit // Memory,None,10.0,Instant // Sorcery
19956,Benevolent Offering,"Choose an opponent. You and that player each create three 1/1 white Spirit creature tokens with flying.
Choose an opponent. You gain 2 life for each creature you control and that player gains 2 life for each creature they control.",4.0,Instant
19957,Bog Elemental,"Protection from white
At the beginning of your upkeep, sacrifice Bog Elemental unless you sacrifice a land.",5.0,Creature — Elemental
19958,Somberwald Sage,{T}: Add three mana of any one color. Spend this mana only to cast creature spells.,3.0,Creature — Human Druid
19959,Manalith,{T}: Add one mana of any color.,3.0,Artifact
19960,Dirty Wererat,"{B}, Discard a card: Regenerate Dirty Wererat.
Threshold — As long as seven or more cards are in your graveyard, Dirty Wererat gets +2/+2 and can't block.",4.0,Creature — Human Rat Minion
19961,"Nethroi, Apex of Death","Mutate {4}{G/W}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Deathtouch, lifelink
Whenever this creature mutates, return any number of target creature cards with total power 10 or less from your graveyard to the battlefield.",5.0,Legendary Creature — Cat Nightmare Beast
19962,Mizzium Transreliquat,"{3}: Mizzium Transreliquat becomes a copy of target artifact until end of turn.
{1}{U}{R}: Mizzium Transreliquat becomes a copy of target artifact, except it has this ability.",3.0,Artifact
19963,Moriok Rigger,"Whenever an artifact is put into a graveyard from the battlefield, you may put a +1/+1 counter on Moriok Rigger.",3.0,Creature — Human Rogue Rigger
19964,Entangling Trap,"Whenever you clash, tap target creature an opponent controls. If you won, that creature doesn't untap during its controller's next untap step. (This ability triggers after the clash ends.)",2.0,Enchantment
19965,Horned Cheetah,"Whenever Horned Cheetah deals damage, you gain that much life.",4.0,Creature — Cat
19966,Captain's Hook,"Equipped creature gets +2/+0, has menace, and is a Pirate in addition to its other creature types.
Whenever Captain's Hook becomes unattached from a permanent, destroy that permanent.
Equip {1}",3.0,Artifact — Equipment
19967,Mobilize,Untap all creatures you control.,1.0,Sorcery
19968,Field Research,"Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)
Draw two cards. If this spell was kicked, draw three cards instead.",3.0,Sorcery
19969,Arcane Heist,"You may cast target instant or sorcery card from an opponent's graveyard without paying its mana cost. If that spell would be put into their graveyard, exile it instead.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",4.0,Sorcery
19970,Eager Cadet,,1.0,Creature — Human Soldier
19971,Chatter of the Squirrel,"Create a 1/1 green Squirrel creature token.
Flashback {1}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",1.0,Sorcery
19972,Keldon Twilight,"At the beginning of each player's end step, if no creatures attacked this turn, that player sacrifices a creature they controlled since the beginning of the turn.",3.0,Enchantment
19973,Possessed Centaur,"Trample
Threshold — As long as seven or more cards are in your graveyard, Possessed Centaur gets +1/+1, is black, and has ""{2}{B}, {T}: Destroy target green creature.""",4.0,Creature — Centaur Horror
19974,Path of Ancestry,"Path of Ancestry enters the battlefield tapped.
{T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",0.0,Land
19975,Spike Weaver,"Spike Weaver enters the battlefield with three +1/+1 counters on it.
{2}, Remove a +1/+1 counter from Spike Weaver: Put a +1/+1 counter on target creature.
{1}, Remove a +1/+1 counter from Spike Weaver: Prevent all combat damage that would be dealt this turn.",4.0,Creature — Spike
19976,Bonescythe Sliver,Sliver creatures you control have double strike. (They deal both first-strike and regular combat damage.),4.0,Creature — Sliver
19977,Reaver Ambush,Exile target creature with power 3 or less.,3.0,Instant
19978,Bastion of Remembrance,"When Bastion of Remembrance enters the battlefield, create a 1/1 white Human Soldier creature token.
Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.",3.0,Enchantment
19979,Prowling Felidar,"Vigilance
Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on Prowling Felidar.",4.0,Creature — Cat Beast
19980,Feral Animist,"{3}: Feral Animist gets +X/+0 until end of turn, where X is its power.",3.0,Creature — Goblin Shaman
19981,Raksha Golden Cub,"Vigilance
As long as Raksha Golden Cub is equipped, Cat creatures you control get +2/+2 and have double strike.",7.0,Legendary Creature — Cat Soldier
19982,Bloodfray Giant,"Trample
Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)",4.0,Creature — Giant
19983,Tangle Hulk,{2}{G}: Regenerate Tangle Hulk.,5.0,Artifact Creature — Phyrexian Beast
19984,Angel of Destiny,"Flying, double strike
Whenever a creature you control deals combat damage to a player, you and that player each gain that much life.
At the beginning of your end step, if you have at least 15 life more than your starting life total, each player Angel of Destiny attacked this turn loses the game.",5.0,Creature — Angel Cleric
19985,Blazing Archon,"Flying
Creatures can't attack you.",9.0,Creature — Archon
19986,Horn of the Mark,"Whenever two or more creatures you control attack a player, look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",2.0,Legendary Artifact
19987,Black Dragon Gate,"Black Dragon Gate enters the battlefield tapped.
As Black Dragon Gate enters the battlefield, choose a color other than black.
{T}: Add {B} or one mana of the chosen color.",0.0,Land — Gate
19988,Ertai's Scorn,"This spell costs {U} less to cast if an opponent cast two or more spells this turn.
Counter target spell.",3.0,Instant
19989,Case of the Gateway Express,"When this Case enters the battlefield, choose target creature you don't control. Each creature you control deals 1 damage to that creature.
To solve — Three or more creatures attacked this turn. (If unsolved, solve at the beginning of your end step.)
Solved — Creatures you control get +1/+0.",2.0,Enchantment — Case
19990,Cyberman Patrol,"Artifact creatures you control have afflict 3. (Whenever a creature with afflict 3 becomes blocked, defending player loses 3 life.)",2.0,Artifact Creature — Cyberman
19991,"Greymond, Avacyn's Stalwart","As Greymond, Avacyn's Stalwart enters the battlefield, choose two abilities from among first strike, vigilance, and lifelink.
Humans you control have each of the chosen abilities.
As long as you control four or more Humans, Humans you control get +2/+2.",4.0,Legendary Creature — Human Soldier
19992,Wirewood Channeler,"{T}: Add X mana of any one color, where X is the number of Elves on the battlefield.",4.0,Creature — Elf Druid
19993,"Mina and Denn, Wildborn","You may play an additional land on each of your turns.
{R}{G}, Return a land you control to its owner's hand: Target creature gains trample until end of turn.",4.0,Legendary Creature — Elf Ally
19994,Exoskeletal Armor,"Enchant creature
Enchanted creature gets +X/+X, where X is the number of creature cards in all graveyards.",2.0,Enchantment — Aura
19995,Primeval Protector,"This spell costs {1} less to cast for each creature your opponents control.
When Primeval Protector enters the battlefield, put a +1/+1 counter on each other creature you control.",11.0,Creature — Avatar
19996,Dreadwurm,"Landfall — Whenever a land enters the battlefield under your control, Dreadwurm gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",5.0,Creature — Wurm Horror
19997,Heroic Charge,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
Creatures you control get +2/+1 until end of turn. If this spell was kicked, those creatures also gain trample until end of turn.",4.0,Instant
19998,Raised by Wolves,"Enchant creature
When Raised by Wolves enters the battlefield, create two 2/2 green Wolf creature tokens.
Enchanted creature gets +1/+1 for each Wolf you control.",5.0,Enchantment — Aura
19999,Stitcher Geralf,"{2}{U}, {T}: Each player mills three cards. Exile up to two creature cards put into graveyards this way. Create an X/X blue Zombie creature token, where X is the total power of the cards exiled this way.",5.0,Legendary Creature — Human Wizard
20000,Hallowed Spiritkeeper,"Vigilance
When Hallowed Spiritkeeper dies, create X 1/1 white Spirit creature tokens with flying, where X is the number of creature cards in your graveyard.",3.0,Creature — Avatar
20001,Roaring Primadox,"At the beginning of your upkeep, return a creature you control to its owner's hand.",4.0,Creature — Beast
20002,Belltoll Dragon,"Flying, hexproof
Megamorph {5}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Belltoll Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.",6.0,Creature — Dragon
20003,Buried in the Garden,"Enchant land
When Buried in the Garden enters the battlefield, exile target nonland permanent you don't control until Buried in the Garden leaves the battlefield.
Whenever enchanted land is tapped for mana, its controller adds an additional one mana of any color.",4.0,Enchantment — Aura
20004,Marauding Knight,"Protection from white
Marauding Knight gets +1/+1 for each Plains your opponents control.",4.0,Creature — Phyrexian Zombie Knight
20005,"Lilah, Undefeated Slickshot","Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever you cast a multicolored instant or sorcery spell from your hand, exile that spell instead of putting it into your graveyard as it resolves. If you do, it becomes plotted. (You may cast it as a sorcery on a later turn without paying its mana cost.)",3.0,Legendary Creature — Human Rogue
20006,Copy Artifact,"You may have Copy Artifact enter the battlefield as a copy of any artifact on the battlefield, except it's an enchantment in addition to its other types.",2.0,Enchantment
20007,Heliod's Emissary,"Bestow {6}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Whenever Heliod's Emissary or enchanted creature attacks, tap target creature an opponent controls.
Enchanted creature gets +3/+3.",4.0,Enchantment Creature — Elk
20008,Mana-Charged Dragon,"Flying, trample
Join forces — Whenever Mana-Charged Dragon attacks or blocks, each player starting with you may pay any amount of mana. Mana-Charged Dragon gets +X/+0 until end of turn, where X is the total amount of mana paid this way.",6.0,Creature — Dragon
20009,Kashi-Tribe Warriors,"Whenever Kashi-Tribe Warriors deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.",5.0,Creature — Snake Warrior
20010,Wildsize,"Target creature gets +2/+2 and gains trample until end of turn.
Draw a card.",3.0,Instant
20011,Catacomb Crocodile,,5.0,Creature — Crocodile
20012,Civil Servant,"Whenever Civil Servant attacks, you may tap another untapped Citizen you control. If you do, Civil Servant gets +1/+0 and gains lifelink until end of turn.",2.0,Creature — Cat Citizen
20013,Dolmen Gate,Prevent all combat damage that would be dealt to attacking creatures you control.,2.0,Artifact
20014,Omen of the Hunt,"Flash
When Omen of the Hunt enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
{2}{G}, Sacrifice Omen of the Hunt: Scry 2.",3.0,Enchantment
20015,Lowland Oaf,{T}: Target Goblin creature you control gets +1/+0 and gains flying until end of turn. Sacrifice that creature at the beginning of the next end step.,4.0,Creature — Giant Warrior
20016,Iron Apprentice,"Iron Apprentice enters the battlefield with a +1/+1 counter on it.
When Iron Apprentice dies, if it had counters on it, put those counters on target creature you control.",1.0,Artifact Creature — Construct
20017,"Kyler, Sigardian Emissary","Whenever another Human enters the battlefield under your control, put a +1/+1 counter on Kyler, Sigardian Emissary.
Other Humans you control get +1/+1 for each counter on Kyler.",5.0,Legendary Creature — Human Cleric
20018,Firecat Blitz,"Create X 1/1 red Elemental Cat creature tokens with haste. Exile them at the beginning of the next end step.
Flashback—{R}{R}, Sacrifice X Mountains. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",2.0,Sorcery
20019,Get Lost,"Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They're artifacts with ""{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery."")",2.0,Instant
20020,Elemental Uprising,Target land you control becomes a 4/4 Elemental creature with haste until end of turn. It's still a land. It must be blocked this turn if able.,2.0,Instant
20021,Golem's Heart,"Whenever a player casts an artifact spell, you may gain 1 life.",2.0,Artifact
20022,Storage Matrix,"As long as Storage Matrix is untapped, each player chooses artifact, creature, or land during their untap step. That player can untap only permanents of the chosen type this step.",3.0,Artifact
20023,Sonic Seizure,"As an additional cost to cast this spell, discard a card at random.
Sonic Seizure deals 3 damage to any target.",1.0,Instant
20024,"Ghave, Guru of Spores","Ghave, Guru of Spores enters the battlefield with five +1/+1 counters on it.
{1}, Remove a +1/+1 counter from a creature you control: Create a 1/1 green Saproling creature token.
{1}, Sacrifice a creature: Put a +1/+1 counter on target creature.",5.0,Legendary Creature — Fungus Shaman
20025,Herald of Kozilek,"Devoid (This card has no color.)
Colorless spells you cast cost {1} less to cast.",3.0,Creature — Eldrazi Drone
20026,Fae Offering,"At the beginning of each end step, if you've cast both a creature spell and a noncreature spell this turn, create a Clue token, a Food token, and a Treasure token.",3.0,Enchantment
20027,Berg Strider,"When Berg Strider enters the battlefield, tap target artifact or creature an opponent controls. If {S} was spent to cast this spell, that permanent doesn't untap during its controller's next untap step. ({S} is mana from a snow source.)",5.0,Snow Creature — Giant Wizard
20028,Rhox War Monk,Lifelink,3.0,Creature — Rhino Monk
20029,Mindsplice Apparatus,"Flash
At the beginning of your upkeep, put an oil counter on Mindsplice Apparatus.
Instant and sorcery spells you cast cost {1} less to cast for each oil counter on Mindsplice Apparatus.",4.0,Artifact
20030,Powerstone Engineer,"When Powerstone Engineer dies, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",2.0,Creature — Human Artificer
20031,Amphibious Kavu,"Whenever Amphibious Kavu blocks or becomes blocked by one or more blue and/or black creatures, Amphibious Kavu gets +3/+3 until end of turn.",3.0,Creature — Kavu
20032,Geralf's Mindcrusher,"When Geralf's Mindcrusher enters the battlefield, target player mills five cards.
Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",6.0,Creature — Zombie Horror
20033,Ascended Lawmage,"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",4.0,Creature — Vedalken Wizard
20034,Grasping Current,"Return up to two target creatures to their owner's hand.
Search your library and/or graveyard for a card named Jace, Ingenious Mind-Mage, reveal it, and put it into your hand. If you searched your library this way, shuffle.",5.0,Sorcery
20035,"Denethor, Ruling Steward","At the beginning of your end step, if a creature died under your control this turn, create a 1/1 white Human Soldier creature token.
{2}, Sacrifice another creature: Each opponent loses 1 life and you gain 1 life.",3.0,Legendary Creature — Human Noble
20036,Flesh to Dust,Destroy target creature. It can't be regenerated.,5.0,Instant
20037,Blind Hunter,"Flying
Haunt (When this creature dies, exile it haunting target creature.)
When Blind Hunter enters the battlefield or the creature it haunts dies, target player loses 2 life and you gain 2 life.",4.0,Creature — Bat
20038,Clash of Wills,Counter target spell unless its controller pays {X}.,1.0,Instant
20039,Arcanum Wings,"Enchant creature
Enchanted creature has flying.
Aura swap {2}{U} ({2}{U}: Exchange this Aura with an Aura card in your hand.)",2.0,Enchantment — Aura
20040,Grand Warlord Radha,"Haste
Whenever one or more creatures you control attack, add that much mana in any combination of {R} and/or {G}. Until end of turn, you don't lose this mana as steps and phases end.",4.0,Legendary Creature — Elf Warrior
20041,Hill Giant,,4.0,Creature — Giant
20042,Nature's Panoply,"Strive — This spell costs {2}{G} more to cast for each target beyond the first.
Choose any number of target creatures. Put a +1/+1 counter on each of them.",1.0,Instant
20043,Canyon Minotaur,,4.0,Creature — Minotaur Warrior
20044,Parhelion II,"Flying, first strike, vigilance
Whenever Parhelion II attacks, create two 4/4 white Angel creature tokens with flying and vigilance that are attacking.
Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)",8.0,Legendary Artifact — Vehicle
20045,Glassblower's Puzzleknot,"When Glassblower's Puzzleknot enters the battlefield, scry 2, then you get {E}{E}. (You get two energy counters. To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
{2}{U}, Sacrifice Glassblower's Puzzleknot: Scry 2, then you get {E}{E}.",2.0,Artifact
20046,Epic Experiment,Exile the top X cards of your library. You may cast instant and sorcery spells with mana value X or less from among them without paying their mana costs. Then put all cards exiled this way that weren't cast into your graveyard.,2.0,Sorcery
20047,Loyal Warhound,"Vigilance
When Loyal Warhound enters the battlefield, if an opponent controls more lands than you, search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle.",2.0,Creature — Dog
20048,Cylian Sunsinger,{R}{G}{W}: Cylian Sunsinger and each other creature with the same name as it get +3/+3 until end of turn.,2.0,Creature — Elf Shaman
20049,Knight of the Ebon Legion,"{2}{B}: Knight of the Ebon Legion gets +3/+3 and gains deathtouch until end of turn.
At the beginning of your end step, if a player lost 4 or more life this turn, put a +1/+1 counter on Knight of the Ebon Legion. (Damage causes loss of life.)",1.0,Creature — Vampire Knight
20050,Leyline of the Guildpact,"If Leyline of the Guildpact is in your opening hand, you may begin the game with it on the battlefield.
Each nonland permanent you control is all colors.
Lands you control are every basic land type in addition to their other types.",4.0,Enchantment
20051,Captivating Crew,{3}{R}: Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn. Activate only as a sorcery.,4.0,Creature — Human Pirate
20052,Septic Rats,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Whenever Septic Rats attacks, if defending player is poisoned, it gets +1/+1 until end of turn.",3.0,Creature — Phyrexian Rat
20053,Evil Eye of Orms-by-Gore,"Non-Eye creatures you control can't attack.
Evil Eye of Orms-by-Gore can't be blocked except by Walls.",5.0,Creature — Eye
20054,Scroll Thief,"Whenever Scroll Thief deals combat damage to a player, draw a card.",3.0,Creature — Merfolk Rogue
20055,Titania's Song,"Each noncreature artifact loses all abilities and becomes an artifact creature with power and toughness each equal to its mana value. If Titania's Song leaves the battlefield, this effect continues until end of turn.",4.0,Enchantment
20056,Haunting Wind,"Whenever an artifact becomes tapped or a player activates an artifact's ability without {T} in its activation cost, Haunting Wind deals 1 damage to that artifact's controller.",4.0,Enchantment
20057,Bloodscent,All creatures able to block target creature this turn do so.,4.0,Instant
20058,Mask of Griselbrand,"Equipped creature has flying and lifelink.
Whenever equipped creature dies, you may pay X life, where X is its power. If you do, draw X cards.
Equip {3}",3.0,Legendary Artifact — Equipment
20059,Provisions Merchant,"When Provisions Merchant enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")
Whenever Provisions Merchant attacks, you may sacrifice a Food. If you do, attacking creatures get +1/+1 and gain trample until end of turn.",4.0,Creature — Beast Peasant
20060,Nyxborn Eidolon,"Bestow {4}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Enchanted creature gets +2/+1.",2.0,Enchantment Creature — Spirit
20061,Shadow Lance,"Enchant creature
Enchanted creature has first strike.
{1}{B}: Enchanted creature gets +2/+2 until end of turn.",1.0,Enchantment — Aura
20062,Sanitarium Skeleton,{2}{B}: Return Sanitarium Skeleton from your graveyard to your hand.,1.0,Creature — Skeleton
20063,Brazen Scourge,Haste,3.0,Creature — Gremlin
20064,Radiate,Choose target instant or sorcery spell that targets only a single permanent or player. Copy that spell for each other permanent or player the spell could target. Each copy targets a different one of those permanents and players.,5.0,Instant
20065,Skyshroud Cutter,"If you control a Forest, rather than pay this spell's mana cost, you may have each other player gain 5 life.",4.0,Creature — Beast
20066,Zodiac Tiger,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),4.0,Creature — Cat
20067,"Kylox, Visionary Inventor","Menace, ward {2}, haste
Whenever Kylox, Visionary Inventor attacks, sacrifice any number of other creatures, then exile the top X cards of your library, where X is their total power. You may cast any number of instant and/or sorcery spells from among the exiled cards without paying their mana costs.",7.0,Legendary Creature — Viashino Artificer
20068,Sonic Burst,"As an additional cost to cast this spell, discard a card at random.
Sonic Burst deals 4 damage to any target.",2.0,Instant
20069,Squirming Mass,Fear (This creature can't be blocked except by artifact creatures and/or black creatures.),2.0,Creature — Horror
20070,Balance of Power,"If target opponent has more cards in hand than you, draw cards equal to the difference.",5.0,Sorcery
20071,Null Profusion,"Skip your draw step.
Whenever you play a card, draw a card.
Your maximum hand size is two.",6.0,Enchantment
20072,"Chishiro, the Shattered Blade","Whenever an Aura or Equipment enters the battlefield under your control, create a 2/2 red Spirit creature token with menace.
At the beginning of your end step, put a +1/+1 counter on each modified creature you control. (Equipment, Auras you control, and counters are modifications.)",4.0,Legendary Creature — Snake Samurai
20073,Zerapa Minotaur,"First strike
{2}: Zerapa Minotaur loses first strike until end of turn. Any player may activate this ability.",4.0,Creature — Minotaur
20074,Delusions of Mediocrity,"When Delusions of Mediocrity enters the battlefield, you gain 10 life.
When Delusions of Mediocrity leaves the battlefield, you lose 10 life.",4.0,Enchantment
20075,Glowcap Lantern,"Equipped creature has ""You may look at the top card of your library any time"" and ""Whenever this creature attacks, it explores."" (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)
Equip {2}",1.0,Artifact — Equipment
20076,Ghastly Discovery,"Draw two cards, then discard a card.
Conspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it.)",3.0,Sorcery
20077,Evolutionary Leap,"{G}, Sacrifice a creature: Reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order.",2.0,Enchantment
20078,Balduvian Shaman,"{T}: Change the text of target white enchantment you control that doesn't have cumulative upkeep by replacing all instances of one color word with another. (For example, you may change ""black creatures can't attack"" to ""blue creatures can't attack."") That enchantment gains ""Cumulative upkeep {1}."" (At the beginning of its controller's upkeep, that player puts an age counter on it, then sacrifices it unless they pay its upkeep cost for each age counter on it.)",1.0,Creature — Human Cleric Shaman
20079,Brinebarrow Intruder,"Flash
When Brinebarrow Intruder enters the battlefield, target creature an opponent controls gets -2/-0 until end of turn.",1.0,Creature — Human Rogue
20080,Infernal Scarring,"Enchant creature
Enchanted creature gets +2/+0 and has ""When this creature dies, draw a card.""",2.0,Enchantment — Aura
20081,Necrosquito,"Flying
Necrosquito enters the battlefield with two oil counters on it.
Necrosquito gets +1/+1 for each oil counter on it.
Whenever another creature or artifact you control is put into a graveyard from the battlefield, put an oil counter on Necrosquito.",4.0,Creature — Phyrexian Insect
20082,Phyrexian Fleshgorger,"Prototype {1}{B}{B} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Menace, lifelink
Ward—Pay life equal to Phyrexian Fleshgorger's power.",7.0,Artifact Creature — Phyrexian Wurm
20083,Mirror Box,"The ""legend rule"" doesn't apply to permanents you control.
Each legendary creature you control gets +1/+1.
Each nontoken creature you control gets +1/+1 for each other creature you control with the same name as that creature.",3.0,Artifact
20084,Urborg Uprising,"Return up to two target creature cards from your graveyard to your hand.
Draw a card.",5.0,Sorcery
20085,Sowing Salt,"Exile target nonbasic land. Search its controller's graveyard, hand, and library for all cards with the same name as that land and exile them. Then that player shuffles.",4.0,Sorcery
20086,Homicide Investigator,"Whenever one or more nontoken creatures you control die, investigate. This ability triggers only once each turn. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",2.0,Creature — Human Detective
20087,Shifting Sliver,Slivers can't be blocked except by Slivers.,4.0,Creature — Sliver
20088,Wild Mammoth,"At the beginning of your upkeep, if a player controls more creatures than each other player, the player who controls the most creatures gains control of Wild Mammoth.",3.0,Creature — Elephant
20089,Leyline of Lifeforce,"If Leyline of Lifeforce is in your opening hand, you may begin the game with it on the battlefield.
Creature spells can't be countered.",4.0,Enchantment
20090,Thran Tome,"{5}, {T}: Reveal the top three cards of your library. Target opponent chooses one of those cards. Put that card into your graveyard, then draw two cards.",4.0,Artifact
20091,"Killian, Ink Duelist","Lifelink
Menace (This creature can't be blocked except by two or more creatures.)
Spells you cast that target a creature cost {2} less to cast.",2.0,Legendary Creature — Human Warlock
20092,"Lolth, Spider Queen","Whenever a creature you control dies, put a loyalty counter on Lolth, Spider Queen.
0: You draw a card and you lose 1 life.
−3: Create two 2/1 black Spider creature tokens with menace and reach.
−8: You get an emblem with ""Whenever an opponent is dealt combat damage by one or more creatures you control, if that player lost less than 8 life this turn, they lose life equal to the difference.""",5.0,Legendary Planeswalker — Lolth
20093,"Lu Meng, Wu General",Horsemanship (This creature can't be blocked except by creatures with horsemanship.),5.0,Legendary Creature — Human Soldier
20094,Three Tragedies,Target player discards three cards.,5.0,Sorcery — Arcane
20095,Raiders' Wake,"Whenever an opponent discards a card, that player loses 2 life.
Raid — At the beginning of your end step, if you attacked this turn, target opponent discards a card.",4.0,Enchantment
20096,Heat Ray,Heat Ray deals X damage to target creature.,1.0,Instant
20097,Yuki-Onna,"When Yuki-Onna enters the battlefield, destroy target artifact.
Whenever you cast a Spirit or Arcane spell, you may return Yuki-Onna to its owner's hand.",4.0,Creature — Spirit
20098,Adamant Will,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",2.0,Instant
20099,Chandra's Phoenix,"Flying
Haste (This creature can attack and {T} as soon as it comes under your control.)
Whenever an opponent is dealt damage by a red instant or sorcery spell you control or by a red planeswalker you control, return Chandra's Phoenix from your graveyard to your hand.",3.0,Creature — Phoenix
20100,Bile Blight,Target creature and all other creatures with the same name as that creature get -3/-3 until end of turn.,2.0,Instant
20101,Memorial to War,"Memorial to War enters the battlefield tapped.
{T}: Add {R}.
{4}{R}, {T}, Sacrifice Memorial to War: Destroy target land.",0.0,Land
20102,Elvish Hexhunter,"{G/W}, {T}, Sacrifice Elvish Hexhunter: Destroy target enchantment.",1.0,Creature — Elf Shaman
20103,Into the Roil,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Return target nonland permanent to its owner's hand. If this spell was kicked, draw a card.",2.0,Instant
20104,Surestrike Trident,"Equipped creature has first strike and ""{T}, Unattach Surestrike Trident: This creature deals damage equal to its power to target player or planeswalker.""
Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)",2.0,Artifact — Equipment
20105,Bellowing Saddlebrute,"Raid — When Bellowing Saddlebrute enters the battlefield, you lose 4 life unless you attacked this turn.",4.0,Creature — Orc Warrior
20106,Havenwood Battleground,"Havenwood Battleground enters the battlefield tapped.
{T}: Add {G}.
{T}, Sacrifice Havenwood Battleground: Add {G}{G}.",0.0,Land
20107,Baldur's Gate,"{T}: Add {C}.
{2}, {T}: Add X mana of any one color, where X is the number of other Gates you control.",0.0,Legendary Land — Gate
20108,Harvester of Souls,"Deathtouch
Whenever another nontoken creature dies, you may draw a card.",6.0,Creature — Demon
20109,Cheeky House-Mouse // Squeak By,None,1.0,Creature — Mouse // Sorcery — Adventure
20110,Thopter Squadron,"Flying
Thopter Squadron enters the battlefield with three +1/+1 counters on it.
{1}, Remove a +1/+1 counter from Thopter Squadron: Create a 1/1 colorless Thopter artifact creature token with flying. Activate only as a sorcery.
{1}, Sacrifice another Thopter: Put a +1/+1 counter on Thopter Squadron. Activate only as a sorcery.",5.0,Artifact Creature — Thopter
20111,Battle Sliver,Sliver creatures you control get +2/+0.,5.0,Creature — Sliver
20112,Five-Alarm Fire,"Whenever a creature you control deals combat damage, put a blaze counter on Five-Alarm Fire.
Remove five blaze counters from Five-Alarm Fire: It deals 5 damage to any target.",3.0,Enchantment
20113,Mana Short,Tap all lands target player controls and that player loses all unspent mana.,3.0,Instant
